,Train,Test
0,2293.1228254894563,2288.0427316085393
1,2292.0659056060563,2321.658512787787
2,2288.8262462584394,2307.9128738609984
3,2289.6899556303338,2289.4381315801775
4,4246.338779082278,4212.418129768222
5,2289.5110079990145,2276.8901671651474
6,2300.18559077422,2316.838713635457
7,2294.489440109804,2322.7122346515507
8,2290.7682651574355,2287.1899698829857
9,4246.942813605109,4212.418129768222
10,2284.9511614387793,2273.83764262095
11,2290.2516825416865,2286.3304296040264
12,2286.3424013483213,2282.540096398455
13,2296.5151127527124,2304.978859266754
14,2288.549415927999,2272.434524175926
15,4246.906066975255,4212.418129768222
16,2286.521065627026,2289.1833696757453
17,2302.8799925368967,2298.1103741262446
18,4247.1205974146715,4212.418129768222
19,2290.998453754815,2272.288209786191
20,2298.5227825609804,2281.7055846449603
21,2291.206480808863,2305.206859842879
22,2290.1133482269547,2285.620885740532
23,2283.272916940788,2278.3214124291885
24,2282.387008642323,2290.9143643968887
25,2291.9932331084606,2289.247438206131
26,2290.3372366867748,2281.104063825235
27,2295.9758177912836,2284.9348094274665
28,2289.881691068538,2312.0582190622563
29,2292.886443032387,2318.139537790309
