,Train,Test
0,181.62014737222697,187.34378909507515
1,130.40780810510046,173.9638297534864
2,124.36435123715692,153.6247965824528
3,139.4726515121776,160.99168990587683
4,119.02499802276301,143.0563904877199
5,129.35254224645047,147.87975478408126
6,132.20891934104196,170.9961165494702
7,130.87211341569224,170.36042330343335
8,127.02233507407136,173.01496390305377
9,144.2952464422964,148.40718111415634
10,124.7675471191042,144.09226238117367
11,130.4488234088942,173.63024200150156
12,134.51051638348963,147.66182859832125
13,124.52510891839,140.0808778661456
14,132.3851110505411,142.34699159316645
15,126.91530357255881,157.73437422610203
16,128.83447511344818,147.3603748574392
17,127.6778500940242,144.28990322221094
18,123.56076891713934,133.29471283119221
19,128.0030223432681,137.9301510276125
20,124.2603866097386,134.03891109487574
21,134.698525658648,139.671916077016
22,131.99922579534396,147.6412790029435
23,142.89507496304424,162.03128917550154
24,124.96649011539344,147.46391242860065
25,131.33571761183504,155.52199151165084
26,136.43146229300544,164.52994123411094
27,140.80095262968655,139.4501058846855
28,126.94250138529388,126.64489987386978
29,122.84540549952916,125.37348889916879
