,Train,Test
0,534.2412402419495,831.0095297500814
1,589.7318524006045,744.2577095303142
2,514.2188299137927,784.6624267944587
3,516.0475956278841,893.530064729346
4,668.3127397377381,808.5005842552898
5,599.4518589829995,684.0521112952923
6,502.8426198829904,829.0191410117953
7,608.3536563310286,731.5725118843794
8,474.7326868811902,769.4717035234646
9,566.5741178847771,808.6089529236821
10,571.4108909286906,766.4144964879116
11,512.8512412004652,840.2509238259748
12,521.0984770368763,753.3023748774707
13,511.0041319887967,791.3011314232883
14,611.8766502302989,891.4132736116456
15,508.9572965558191,708.4252902336931
16,522.9579896877444,898.4747645751662
17,575.975073447126,858.1748717293775
18,522.4139788036473,756.8290351711079
19,597.8311151104444,708.9800128151262
20,521.2082829123697,661.8141630306133
21,563.1524971750493,754.0996656512407
22,527.9347493229385,700.8274862284911
23,580.4571468751031,757.3273593394807
24,556.7696521341462,774.3280007328484
25,556.6694525498589,879.8473516429062
26,619.7358460473156,866.6407341569077
27,552.7224143243521,610.6895159922722
28,522.2585726762234,759.5044847562864
29,497.70465604847874,701.8262042477425
