,Train,Test
0,558.3207507305679,912.4964625879952
1,650.8299834466576,898.4236376154413
2,630.1966046578947,827.7504919816217
3,573.3194348002606,748.2667250156161
4,632.4490031224765,618.8572577615612
5,596.615413804668,765.0006403979304
6,532.534023799464,735.6538103473636
7,613.4913959201884,989.9776884858492
8,532.2571477135515,637.731372191166
9,717.3313343411924,928.1873881027043
10,635.1702443451647,827.4496021870519
11,590.5033903602517,772.3767874239271
12,592.8389715646839,690.5549745080787
13,601.9139887987594,758.4903732551237
14,538.0370088106233,846.4170478069327
15,659.3813847142277,771.5119455397053
16,669.7703382382898,735.6422740118302
17,599.3283652737,830.3015775243233
18,718.3813082835698,794.3103552953484
19,639.4488490684486,796.8449040225472
20,557.9704434964151,816.8690660147231
21,597.8195700249507,740.4127010568337
22,503.9312900575292,764.8510114680485
23,580.1167925139569,872.3136036068873
24,566.8876914013742,721.4486500938287
25,583.3551791845111,864.2347044463186
26,733.3420182648998,890.9557803416191
27,609.1094971578445,990.3537689602323
28,568.6677884013036,920.5339577988492
29,620.0560826000501,667.0748854052271
