,Train,Test
0,231.51740413809776,185.34565470695557
1,226.79397370297872,190.34770815536498
2,236.2809133951272,248.58845256769268
3,233.27909681379768,203.40326132771324
4,230.33005918180197,177.52037735144663
5,233.63525802095893,220.76903938279025
6,228.6335399908514,189.96483021535855
7,240.96571744414035,202.1289810987034
8,228.93146167543662,182.05276965072517
9,227.7065115935603,224.72015583276013
10,236.44357360356793,187.35911373616176
11,228.318266159053,195.3394881353998
12,224.72527315642733,207.07271518720182
13,224.82446536109205,182.11320311828024
14,230.91987912888888,210.34563260559986
15,249.15887450829342,198.30452237341942
16,231.94160848043293,205.7642195876144
17,226.90365087435924,186.23606281746294
18,253.2864675290644,185.06703810714106
19,226.1114922747077,185.84797214390045
20,230.3069924531085,216.40676218350941
21,229.92936653536302,181.589133158485
22,224.66853204582924,199.73915607298935
23,235.84148370298686,198.17377159957368
24,230.3429855916006,252.37727524977362
25,237.3073485720062,204.05109079897122
26,239.14161617028986,220.24155772696488
27,225.85834317506712,187.81083609911863
28,240.63156114607116,182.53072301327796
29,227.08829068426652,178.173107538708
