,Train,Test
0,233.6570013233765,196.37519891778595
1,225.70611498700174,179.4234146335143
2,237.04052833723108,188.41178307101708
3,230.458798434907,185.4908500944184
4,227.3806988281937,186.99833931415006
5,222.81379134587377,185.81112301877948
6,239.5892940805007,195.39412294449903
7,223.41256418839725,195.63726998261347
8,230.33642878823608,213.7393180810447
9,229.32923698628773,183.6435171909153
10,234.21821011831278,187.90038501158
11,239.1997585808977,180.51390939308527
12,243.90853043229598,186.0884576283548
13,238.5939032962761,195.17341047450597
14,228.76520340047693,187.3257836464324
15,247.41555796106888,218.76121399827713
16,231.540145449209,187.0066217076283
17,232.62974651666215,186.21090193648706
18,231.85673907475388,183.35059696180429
19,229.46975304165628,248.6863926213093
20,227.00575290693658,227.33899694344126
21,236.1376664389296,182.3253337958003
22,220.70945947520354,187.05578629783147
23,232.51202832622894,214.19529640027113
24,219.2367986245076,191.87062291424397
25,234.3249525001231,220.47144975313697
26,240.45844979297848,234.63978376439064
27,226.05570497907277,180.5393287313044
28,227.53651064123778,175.16992865857426
29,229.34905294795493,194.78317272033536
