,Train,Test
0,4680.03600345016,4107.063914769285
1,6251.827914749495,4821.362048218325
2,3974.075647645013,4051.6608940038404
3,5832.686716542672,4091.5040021977247
4,7374.841502425488,4191.5197721113045
5,7212.920947810185,5277.780404677709
6,8793.210202210363,10187.522957029349
7,17918.10490691268,47508.628942540534
8,10145.285126346711,6891.739693284998
9,4947.216384506362,4093.1071327293644
10,9324.779155630553,6854.4064659166515
11,4924.84045166531,4080.7599782393477
12,5749.099266128119,5491.176012476744
13,6637.261689671388,5501.716459433364
14,4777.739255236272,5095.4136240348535
15,8918.60226702794,4474.10437964963
16,4753.555453417784,4361.173695233887
17,5979.123336928678,4290.41862759335
18,3764.804849030299,3474.426571392753
19,5256.774312854039,4640.65943589917
20,4762.743564671576,3759.833240982903
21,13191.275715168329,6040.805244336222
22,5509.633348764735,4940.234609813587
23,7269.070383507414,14139.878924517
24,6334.825513908545,6945.984451465465
25,5217.804051072119,5122.031823407582
26,5351.439249254498,5126.554398423955
27,5674.080703949839,4893.341802899119
28,5832.683201591546,4643.335439099786
29,5461.964663963382,4178.405916135961
