,Train,Test
0,594.1810907042588,819.1780270317544
1,593.2806913942059,767.7295975025544
2,634.891824190797,828.640151390556
3,601.5849275225769,694.6749839220479
4,584.9865673945563,915.0624010479822
5,731.0171091792306,858.3742919596275
6,701.7424958916919,810.1753827358242
7,689.6600554786489,684.6485951061482
8,618.6846123880944,842.368043532812
9,630.2074432524741,793.2145530909181
10,658.8814704045185,770.2626115831739
11,631.667754796895,956.5415613275864
12,713.6567151888208,782.4647991178691
13,585.8291777226985,648.4581534832411
14,631.8507184998334,933.4065408959639
15,504.46530726583273,648.7312704537967
16,549.94664359611,801.6496413665368
17,682.9467560751569,841.8048154903955
18,574.9852784956372,988.3141651557978
19,679.4782032423687,984.1853798800403
20,644.2081283569063,889.031480725579
21,723.4085497207722,760.1945917356516
22,665.7560127427679,620.1119672815905
23,675.5246577562127,938.7481241777047
24,561.3854137844594,837.4991204159846
25,659.9471530349439,874.2448724374208
26,637.7547601008242,743.7353274590024
27,622.7546335139092,841.6121880158339
28,686.3194773254121,849.5163688364521
29,634.9340168803172,861.5562139865559
