,Train,Test
0,234.0887598635639,185.5418584848174
1,232.94317664008278,204.6984348224236
2,232.17817566833367,183.6222344924492
3,237.88092881650098,206.21365210019437
4,240.04440972823437,190.37727756352646
5,225.05916028584798,226.3029116306284
6,233.35518616417974,187.36011448544753
7,229.10550252644842,195.27595658132108
8,236.57316920003555,192.7628785418759
9,225.25125446526664,241.42503365434166
10,232.85396729208568,247.39600087713626
11,225.3853178857971,256.56620734227647
12,226.790326063796,230.58914863616198
13,227.10894394408416,213.63132670561217
14,230.46002568549184,232.2420359910109
15,240.6452459560255,210.81616880887006
16,232.24664439636626,182.79349260162408
17,239.62525934141723,230.28635367190128
18,238.8480732286401,202.0457095560309
19,233.88459695612752,185.8603621505941
20,222.55444886121768,204.49524367940688
21,222.51475941006063,181.16108810600028
22,241.6830823023484,207.91981251795124
23,231.64241230181833,199.47067649469182
24,234.86076614291983,189.0125967197689
25,222.344154337745,187.20313999770408
26,234.76917551546913,189.96014178966598
27,234.86484213562295,176.00562069327503
28,234.59818843048868,191.53595860177273
29,226.40545436014057,182.15800576010926
