,Train,Test
0,532.8751211858208,987.1725964200634
1,615.425029550639,1053.1968275172085
2,582.3377703919782,831.5079907477384
3,461.14183447485635,890.1075463154201
4,543.4131395816805,918.2251954130469
5,462.96620513742425,942.2531236823877
6,584.3014013010788,874.6128978570233
7,519.0036303062265,863.0008313929428
8,557.3044331793034,995.5287121515249
9,558.8721317822925,982.272733364485
10,508.63318615428136,962.5313294349256
11,716.9904041993323,972.2071605441029
12,524.5436841777816,1002.7846237169343
13,636.8377644174462,1138.251616995288
14,514.5658875358346,965.749369958742
15,597.3728299675926,1004.1449486948216
16,590.9819925996761,1013.0623683030566
17,509.05758292737227,988.4481827202237
18,479.73288155854317,933.1826701760765
19,521.681412247701,994.6148433098158
20,583.0879437793507,966.3963204781845
21,501.4594051744204,886.891479927696
22,506.57175037347895,976.5380586580551
23,553.0622595344732,908.3253600172358
24,542.1983504167413,765.6305654755608
25,498.65341836109775,873.6868272683217
26,526.2414751658862,927.1721962372125
27,532.9978498940949,959.9089701995646
28,488.07533297551015,890.8939305214813
29,585.6559725175748,904.4346714117776
