,Train,Test
0,2409.5369742922153,2415.2820918752604
1,2398.8191461890146,2380.9768041009274
2,2588.8752461458917,2600.448382811446
3,4246.843623449312,4212.418129768222
4,2583.0399718140843,2582.962857843682
5,2400.1670319827977,2379.391965397883
6,2457.064565984604,2422.4753438717735
7,2602.5883564395785,2594.207923432507
8,4247.73085066358,4212.418129768222
9,2549.2810993813728,2550.569086824873
10,4247.067997123723,4212.418129768222
11,4246.915670054698,4212.418129768222
12,4246.8002390097745,4212.418129768222
13,2530.5075890861226,2517.9157220473708
14,4246.726811277795,4212.418129768222
15,2520.7463778552947,2522.3252334568856
16,4246.541930675354,4212.418129768222
17,4246.917789553966,4212.418129768222
18,2565.2545990123494,2576.6765254231404
19,2532.6713486806393,2563.42494688909
20,2594.294476258517,2582.290052776153
21,2527.8308239408034,2577.708526967314
22,2494.272678997329,2494.8590558052238
23,2556.395746730882,2558.627781643903
24,2505.8555474593145,2518.744139778129
25,2480.2067323431784,2478.857927554542
26,2593.2947230737054,2609.1677312890406
27,2510.3295364721525,2522.2594203081753
28,2593.8875534043264,2595.6583862930293
29,2472.8747677508077,2472.565401898738
