,Train,Test
0,229.46109661378352,191.3920224304033
1,240.94137711305717,211.98879687379707
2,233.83779931715083,192.96591344069034
3,233.34061878491522,185.7988453610517
4,240.62309233561263,186.93198336895162
5,236.53349396696328,193.71766867338147
6,228.89775902283347,230.89927796010969
7,228.42910973901775,181.27457807494685
8,223.70465223083013,183.8967313806855
9,244.35132245541485,176.54177975765396
10,231.9609905004226,189.49554744109426
11,228.0743396007722,215.3912773158421
12,232.39277782557826,223.35830764435426
13,237.68353234469475,183.75114795559782
14,235.86245439639163,268.607840308134
15,234.42178827137198,203.09974843042028
16,228.2764956124208,223.5725815451215
17,232.46768629324387,184.2708816186106
18,240.2846054831045,181.9669870471015
19,229.6956385151957,187.85017301030095
20,234.35781471510336,196.17886847848828
21,226.3581725629335,208.29618522971083
22,240.5556362713973,215.83002028506135
23,241.65142678927472,295.31181878228307
24,235.54397882863447,217.3300521384468
25,229.16609122726402,192.5672873471764
26,227.73891112901262,185.40338201473025
27,227.44428059028752,348.1684218880282
28,236.92175109761692,207.3884960195478
29,231.86583683244478,181.00294584964632
