,Train,Test
0,225.91736890450022,193.96673361687564
1,225.21658163489406,194.11638744577954
2,226.55906617717554,198.12569006188974
3,692.4843256550903,674.8462093321707
4,226.62501483282227,200.0068944124177
5,225.61965839385647,194.1354331549241
6,692.4772801919854,674.8462093321707
7,692.310659800575,674.8462093321707
8,692.2502836574938,674.8462093321707
9,692.1930207235788,674.8462093321707
10,226.83550855294553,194.99063479113553
11,692.5554196801569,674.8462093321707
12,225.7665702214035,196.3772974881516
13,692.4217820137445,674.8462093321707
14,226.0842899959049,196.3694401663609
15,226.35492303477275,195.06963900745805
16,226.0871264946683,195.5941469280203
17,692.3850719937396,674.8462093321707
18,692.4903417142634,674.8462093321707
19,225.81072850381108,196.53867105165335
20,225.97397665342515,195.00573909823783
21,692.4716918954107,674.8462093321707
22,692.5080044933152,674.8462093321707
23,225.70793729500096,194.2979851445969
24,226.03587541677007,194.14524202256413
25,692.3061534956269,674.8462093321707
26,692.4134429174782,674.8462093321707
27,225.68402408772351,194.40134467770537
28,225.62475236070102,194.88907101220428
29,692.8225567555186,674.8462093321707
