,Train,Test
0,3.969716389826901,1.4272051650556437
1,3.943027269908354,1.809564591600087
2,3.7872724248506966,1.5998856022314156
3,3.7164994621387764,1.46505272406244
4,3.7166762077556537,1.5001124726050221
5,3.6442929380203672,1.452492422253245
6,3.7259427701907235,1.3462649046760957
7,3.920975364171669,1.4918071673739168
8,3.64224206605026,1.4700346175533185
9,3.6661272964483342,1.4082589805362271
10,3.8420208929351065,1.4806388926794702
11,3.6655058106478635,1.5208154178122357
12,3.5801739718848804,1.4452196711242746
13,3.7437805926232564,1.5351850118177608
14,3.895313151057123,1.5042627655161607
15,3.5356884492885703,1.8769285503856632
16,3.703345813883141,1.4968505946859727
17,3.7732141828266137,1.5314423441486504
18,3.568776303760632,1.470350933052603
19,3.5762944623452215,1.9607351717789006
20,3.5761031436261845,1.5852985472694059
21,3.503677551831538,1.4971963879885992
22,3.9179219784490504,1.6221954031077506
23,3.598060468452782,1.3887894276304729
24,3.775846165179248,1.6591955667503477
25,3.6841080769245367,1.6716372988793258
26,3.524381470543393,1.617587395652001
27,3.7667381257156243,1.529717561281021
28,3.617096093755837,1.4526770581335413
29,3.630654798092551,1.6311443951881648
