,Train,Test
0,536.9045339393984,774.5431141266438
1,445.6108438383676,848.897206894329
2,446.4686630759983,859.3534569459789
3,540.4401358721776,854.1380043568188
4,507.229608477436,890.624316510692
5,432.4467757639997,733.1392961734282
6,489.7514053414261,693.4938148128396
7,454.1986649410163,850.9259935926304
8,487.5111928703431,743.1696351577197
9,503.81293299984446,751.0585850946466
10,569.0293305611414,899.7184329774645
11,573.2859854556546,766.2835663222857
12,514.2188709505683,746.5756943899892
13,487.4392179863746,847.5560094626412
14,491.05652709533706,789.0197001116376
15,555.3622781564447,881.4177690320902
16,497.62108745352253,799.2255418411219
17,544.761259509607,887.3387889603705
18,498.0063475983876,755.7862490107561
19,544.2767715038185,787.9270945295071
20,469.8213604972303,893.594000707581
21,507.36730777345826,805.4450119697656
22,471.5898200760831,789.0999046049257
23,481.5145537063245,743.9633492557919
24,495.81368383030605,884.6469173869259
25,503.43595835494494,863.5210502884606
26,592.0332900283718,901.425496483743
27,462.72113267615947,812.485985652702
28,457.25599441147074,643.6363686140759
29,495.8803992702108,789.445217495111
